"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I","","","",""
"81 Field Officers","","","",""
"Total Caseload","7,229","598","551","595"
"","","","",""
"REGION II","","","",""
"64 Field Officers","","","",""
"Total Caseload","5,649","461","375","288"
"","","","",""
"REGION III","","","",""
"89 Field Officers","","","",""
"Total Caseload","7,372","875","598","544"
