"URINALYSIS SCREENING","","","",""
"","Number 
Run","Number 
Positive","","Percent"
"ISP Court Sentenced & Prison Release","24,620","2,847","","11.56%"
"Regular Caseload","30,768","9,882","","32.12%"
"Inmates, CWCs & Restitution Centers","18,644","875","","4.69%"
"Restitution Center Residents","3,344","281","","8.40%"
