"status","count","percent_of_total"
"Probation","8,630","20.12%"
"Probation - Compact","1,262","2.94%"
"Probation - Nonadjudicated","4,423","10.31%"
"Probation - Post Release","18,642","43.46%"
"TVC Probation","103","0.24%"
"PROBATION TOTAL","33,060","77.07%"
"Parole","7,555","17.61%"
"Parole - Compact","540","1.26%"
"Parole - Suspension","0","0.00%"
"TVC Parole","81","0.19%"
"PAROLE TOTAL","8,176","19.06%"
"Intensive Supervision Program - Court","731","1.70%"
"Intensive Supervision Program - Prison","79","0.18%"
"Earned Release Supervision","834","1.94%"
"Medical Release","12","0.03%"
"Conditional Release","2","0.005%"
"COMMUNITY INMATE TOTAL","1,658","6.69%"
"TOTAL","42,894","100.00%"
