"status","count","percent_of_total"
"Probation","13209","44.01%"
"Probation - Compact","1195","3.98%"
"Probation - Nonadjudicated","2636","8.78%"
"Probation - Post Release","7667","25.55%"
"PROBATION TOTAL","24707","82.33%"
"Parole","1981","6.60%"
"Parole - Compact","485","1.62%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2466","8.22%"
"Intensive Supervision Program - Court","938","3.13%"
"Intensive Supervision Program - Prison","237","0.79%"
"Earned Release Supervision","1655","5.51%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","2838","9.46%"
"TOTAL","30011","100.00%"
