"status","count","percent_of_total"
"Probation","11,408","49.57%"
"Compact Probation","1,074","4.67%"
"Nonadjudicated","2,296","9.98%"
"Post Release","3,817","16.59%"
"PROBATION TOTAL","18,595","80.81%"
"Parole","1,378","5.99%"
"Compact Parole","409","1.78%"
"Suspension","10","0.04%"
"PAROLE TOTAL","1,797","7.81%"
"Intensive Supervision Program - Court","1,053","4.58%"
"Intensive Supervision Program - Prison","320","1.39%"
"Earned Release Supervision","1,247","5.42%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,620","11.39%"
"TOTAL","23,012","100.00%"
