"status","count","percent_of_total"
"Probation","10,767","38.40%"
"Probation - Compact","1,280","4.57%"
"Probation - Nonadjudicated","2,773","9.89%"
"Probation - Post Release","7,719","27.53%"
"PROBATION TOTAL","22,539","80.39%"
"Parole","2,125","7.58%"
"Parole - Compact","477","1.70%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,602","9.28%"
"Intensive Supervision Program - Court","901","3.21%"
"Intensive Supervision Program - Prison","252","0.90%"
"Earned Release Supervision","1,730","6.17%"
"Medical Release","14","0.05%"
"COMMUNITY INMATE TOTAL","2,897","10.33%"
"TOTAL","28,038","100.00%"
