"status","count","percent_of_total"
"Probation","16518","63.97%"
"Compact Probation","1062","4.11%"
"Nonadjudicated","928","3.59%"
"Post Release","2389","9.25%"
"PROBATION TOTAL","20897","80.93%"
"Parole","1684","6.52%"
"Compact Parole","414","1.60%"
"Suspension","0","0.00%"
"PAROLE TOTAL","2098","8.12%"
"Intensive Supervision Program - Court","899","3.48%"
"Intensive Supervision Program - Prison","359","1.39%"
"Earned Release Supervision","1566","6.06%"
"Medical Release","3","0.01%"
"COMMUNITY INMATE TOTAL","2827","10.95%"
"TOTAL","25822","100.00%"
