"status","count","percent_of_total"
"Probation","10864","50.71%"
"Compact Probation","1080","5.04%"
"Nonadjudicated","2330","10.88%"
"Post Release","2893","13.50%"
"PROBATION TOTAL","17167","80.13%"
"Parole","1373","6.41%"
"Compact Parole","399","1.86%"
"Suspension","9","0.04%"
"PAROLE TOTAL","1781","8.31%"
"Intensive Supervision Program - Court","1065","4.97%"
"Intensive Supervision Program - Prison","283","1.32%"
"Earned Release Supervision","1128","5.27%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2476","11.56%"
"TOTAL","21424","100.00%"
