"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,863","20.99%"
"Probation - Compact","1,286","2.74%"
"Probation - Nonadjudicated","4,842","10.31%"
"Probation - Post Release","19,684","41.90%"
"TVC Probation","142","0.30%"
"PROBATION TOTAL","35,817","76.24%"
"Parole","8,489","18.07%"
"Parole - Compact","488","1.04%"
"Parole - Suspension","0","0.00%"
"TVC Parole","414","0.88%"
"PAROLE TOTAL","9,391","19.99%"
"Intensive Supervision Program - Court","820","1.75%"
"Intensive Supervision Program - Prison","110","0.23%"
"Earned Release Supervision","826","1.76%"
"Medical Release","16","0.03%"
"COMMUNITY INMATE TOTAL","1,772","6.69%"
"TOTAL","46,980","100.00%"
