"status","count","percent_of_total"
"Probation","11,215","39.39%"
"Probation - Compact","1,265","4.44%"
"Probation - Nonadjudicated","2,766","9.71%"
"Probation - Post Release","7,719","27.11%"
"PROBATION TOTAL","22,965","80.65%"
"Parole","2,074","7.28%"
"Parole - Compact","479","1.68%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,553","8.97%"
"Intensive Supervision Program - Court","943","3.31%"
"Intensive Supervision Program - Prison","269","0.94%"
"Earned Release Supervision","1,732","6.08%"
"Medical Release","12","0.04%"
"COMMUNITY INMATE TOTAL","2,956","10.38%"
"TOTAL","28,474","100.00%"
