"status","count","percent_of_total"
"Probation","10826","50.64%"
"Compact Probation","1073","5.02%"
"Nonadjudicated","2293","10.73%"
"Post Release","2835","13.26%"
"PROBATION TOTAL","17027","79.65%"
"Parole","1346","6.30%"
"Compact Parole","413","1.93%"
"Suspension","9","0.04%"
"PAROLE TOTAL","1768","8.27%"
"Intensive Supervision Program - Court","1117","5.23%"
"Intensive Supervision Program - Prison","294","1.38%"
"Earned Release Supervision","1171","5.48%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2582","12.08%"
"TOTAL","21377","100.00%"
