"status","count","percent_of_total"
"Probation","11041","56.77%"
"Compact Probation","1100","5.66%"
"Nonadjudicated","1870","9.62%"
"Post Release","1677","8.62%"
"PROBATION TOTAL","15688","80.67%"
"Parole","1168","6.01%"
"Compact Parole","432","2.22%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1608","8.27%"
"Intensive Supervision Program - Court","861","4.43%"
"Intensive Supervision Program - Prison","319","1.64%"
"Earned Release Supervision","971","4.99%"
"Medical Release","1","0.01%"
"COMMUNITY INMATE TOTAL","2152","11.07%"
"TOTAL","19448","100.00%"
