"status","count","percent_of_total"
"Probation","14209","45.64%"
"Probation - Compact","1207","3.88%"
"Probation - Nonadjudicated","2667","8.57%"
"Probation - Post Release","7513","24.13%"
"PROBATION TOTAL","25596","82.21%"
"Parole","1912","6.14%"
"Parole - Compact","499","1.60%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2411","7.74%"
"Intensive Supervision Program - Court","1184","3.80%"
"Intensive Supervision Program - Prison","246","0.79%"
"Earned Release Supervision","1689","5.42%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","3127","10.04%"
"TOTAL","31134","100.00%"
