"status","count","percent_of_total"
"Probation","9693","25.27%"
"Probation - Compact","1117","2.91%"
"Probation - Nonadjudicated","4108","10.71%"
"Probation - Post Release","13210","34.44%"
"PROBATION TOTAL","28128","73.34%"
"Parole","6731","17.55%"
"Parole - Compact","288","0.75%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","7019","18.30%"
"Intensive Supervision Program - Court","1137","2.96%"
"Intensive Supervision Program - Prison","431","1.12%"
"Earned Release Supervision","1616","4.21%"
"Medical Release","23",".06%"
"COMMUNITY INMATE TOTAL","3207","8.36%"
"TOTAL","38354","100.00%"
