"status","count","percent_of_total"
"Probation","9626","24.60%"
"Probation - Compact","1124","2.87%"
"Probation - Nonadjudicated","4126","10.54%"
"Probation - Post Release","14232","36.37%"
"PROBATION TOTAL","29108","74.38%"
"Parole","6486","16.57%"
"Parole - Compact","272","0.70%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6758","17.27%"
"Intensive Supervision Program - Court","1125","2.87%"
"Intensive Supervision Program - Prison","498","1.27%"
"Earned Release Supervision","1621","4.14%"
"Medical Release","25",".06%"
"COMMUNITY INMATE TOTAL","3269","8.35%"
"TOTAL","39135","100.00%"
