"status","count","percent_of_total"
"Probation","6953","18.30%"
"Probation - Compact","1256","3.31%"
"Probation - Nonadjudicated","3860","10.16%"
"Probation - Post Release","16556","43.59%"
"TVC Probation","131","0.34%"
"PROBATION TOTAL","28756","75.70%"
"Parole","6978","18.37%"
"Parole - Compact","557","1.47%"
"Parole - Suspension","0","0.00%"
"TVC Parole","144","0.38%"
"PAROLE TOTAL","7679","20.22%"
"Intensive Supervision Program - Court","669","1.76%"
"Intensive Supervision Program - Prison","68","0.18%"
"Earned Release Supervision","797","2.10%"
"Medical Release","14","0.04%"
"Conditional Release","2","0.005%"
"COMMUNITY INMATE TOTAL","1550","6.69%"
"TOTAL","37985","100.00%"
