"status","count","percent_of_total"
"Probation","17904","58.36%"
"Probation - Compact","1235","4.03%"
"Probation - Nonadjudicated","1699","5.54%"
"Probation - Post Release","3808","12.41%"
"PROBATION TOTAL","24646","80.34%"
"Parole","1986","6.47%"
"Parole - Compact","507","1.65%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2493","8.13%"
"Intensive Supervision Program - Court","1311","4.27%"
"Intensive Supervision Program - Prison","362","1.18%"
"Earned Release Supervision","1857","6.05%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","3538","11.53%"
"TOTAL","30677","100.00%"
