type,count,percent_of_total
probation,5817,16.08%
compact_probation,1359,3.76%
nonadjudicated,3689,10.20%
post_release,14376,39.74%
TVC_probation,92,0.25%
probation_total,25333,70.02%
parole,8690,24.02%
compact_parole,535,1.48%
suspension,0,0.00%
TVC_parole,144,0.40%
parole_total,9369,25.90%
ISP_court,842,2.33%
ISP_prison,69,0.19%
earned_release_supervision,538,1.49%
medical_release,18,0.05%
FTR_monitoring,6,0.02%
conditional_release,3,0.008%
community_inmate_total,1476,4.08%
total,36178,100.00%
