"status","count","percent_of_total"
"Probation","10,368","36.94%"
"Probation - Compact","1,306","4.65%"
"Probation - Nonadjudicated","2,802","9.98%"
"Probation - Post Release","7,887","28.10%"
"PROBATION TOTAL","22,363","79.68%"
"Parole","2,233","7.96%"
"Parole - Compact","472","1.68%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,705","9.64%"
"Intensive Supervision Program - Court","925","3.30%"
"Intensive Supervision Program - Prison","252","0.90%"
"Earned Release Supervision","1,788","6.37%"
"Medical Release","34","0.12%"
"COMMUNITY INMATE TOTAL","2,999","10.69%"
"TOTAL","28,067","100.00%"
