type,count,percent_of_total
probation,5354,15.76%
compact_probation,1380,4.06%
nonadjudicated,3272,9.63%
post_release,13470,39.66%
TVC_probation,102,0.30%
probation_total,23578,69.42%
parole,8187,24.11%
compact_parole,601,1.77%
suspension,0,0.00%
TVC_parole,257,0.76%
parole_total,9045,26.63%
ISP_court,708,2.08%
ISP_prison,36,0.11%
earned_release_supervision,571,1.68%
medical_release,16,0.05%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1340,3.95%
total,33963,100.00%
