type,count,percent_of_total
probation,5413,15.78%
compact_probation,1387,4.04%
nonadjudicated,3399,9.91%
post_release,13462,39.24%
TVC_probation,113,0.33%
probation_total,23774,69.30%
parole,8263,24.09%
compact_parole,590,1.72%
suspension,0,0.00%
TVC_parole,306,0.89%
parole_total,9159,26.70%
ISP_court,730,2.13%
ISP_prison,51,0.15%
earned_release_supervision,567,1.65%
medical_release,15,0.04%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1372,4.00%
total,34305,100.00%
