"status","count","percent_of_total"
"Probation","10636","54.00%"
"Compact Probation","1100","5.59%"
"Nonadjudicated","1861","9.45%"
"Post Release","1980","10.05%"
"PROBATION TOTAL","15577","79.09%"
"Parole","1304","6.62%"
"Compact Parole","444","2.25%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1756","8.92%"
"Intensive Supervision Program - Court","1020","5.18%"
"Intensive Supervision Program - Prison","299","1.52%"
"Earned Release Supervision","1042","5.29%"
"Medical Release","1","0.01%"
"COMMUNITY INMATE TOTAL","2362","11.99%"
"TOTAL","19695","100.00%"
