"status","count","percent_of_total"
"Probation","11251","50.60%"
"Compact Probation","1082","4.87%"
"Nonadjudicated","2370","10.66%"
"Post Release","3217","14.47%"
"PROBATION TOTAL","17920","80.59%"
"Parole","1345","6.05%"
"Compact Parole","405","1.82%"
"Suspension","7","0.03%"
"PAROLE TOTAL","1757","7.90%"
"Intensive Supervision Program - Court","1071","4.82%"
"Intensive Supervision Program - Prison","283","1.27%"
"Earned Release Supervision","1206","5.42%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2560","11.51%"
"TOTAL","22237","100.00%"
