"status","count","percent_of_total"
"Probation","10952","38.87%"
"Probation - Compact","1262","4.48%"
"Probation - Nonadjudicated","2779","9.86%"
"Probation - Post Release","7699","27.32%"
"PROBATION TOTAL","22692","80.53%"
"Parole","2088","7.41%"
"Parole - Compact","469","1.66%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2557","9.07%"
"Intensive Supervision Program - Court","920","3.26%"
"Intensive Supervision Program - Prison","264","0.94%"
"Earned Release Supervision","1733","6.15%"
"Medical Release","12","0.04%"
"COMMUNITY INMATE TOTAL","2929","10.39%"
"TOTAL","28178","100.00%"
