"status","count","percent_of_total"
"Probation","10,567","52.87%"
"Compact Probation","1,033","5.17%"
"Nonadjudicated","1,912","9.57%"
"Post Release","2,177","10.89%"
"PROBATION TOTAL","15,689","78.50%"
"Parole","1,358","6.79%"
"Compact Parole","435","2.18%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,801","9.01%"
"Intensive Supervision Program - Court","1,150","5.75%"
"Intensive Supervision Program - Prison","307","1.54%"
"Earned Release Supervision","1,040","5.20%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,497","12.49%"
"TOTAL","19,987","100.00%"
