"status","count","percent_of_total"
"Probation","15941","52.44%"
"Probation - Compact","1039","3.42%"
"Probation - Nonadjudicated","2149","7.07%"
"Probation - Post Release","5568","18.32%"
"PROBATION TOTAL","24697","81.25%"
"Parole","2001","6.58%"
"Parole - Compact","458","1.51%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2459","8.09%"
"Intensive Supervision Program - Court","1291","4.25%"
"Intensive Supervision Program - Prison","274","0.90%"
"Earned Release Supervision","1667","5.48%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3241","10.66%"
"TOTAL","30397","100.00%"
