"status","count","percent_of_total"
"Probation","16,792","62.01%"
"Compact Probation","1,067","3.94%"
"Nonadjudicated","1,089","4.02%"
"Post Release","2,758","10.19%"
"PROBATION TOTAL","21,706","80.16%"
"Parole","1,814","6.70%"
"Compact Parole","416","1.54%"
"Suspension","0","0.00%"
"PAROLE TOTAL","2,230","8.24%"
"Intensive Supervision Program - Court","1,016","3.75%"
"Intensive Supervision Program - Prison","410","1.51%"
"Earned Release Supervision","1,711","6.32%"
"Medical Release","5","0.02%"
"COMMUNITY INMATE TOTAL","3,142","11.60%"
"TOTAL","27,078","100.00%"
