"status","count","percent_of_total"
"Probation","10762","53.97%"
"Compact Probation","1047","5.25%"
"Nonadjudicated","1908","9.57%"
"Post Release","2114","10.60%"
"PROBATION TOTAL","15831","79.39%"
"Parole","1333","6.69%"
"Compact Parole","424","2.13%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1765","8.85%"
"Intensive Supervision Program - Court","1031","5.17%"
"Intensive Supervision Program - Prison","322","1.61%"
"Earned Release Supervision","991","4.97%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2344","11.76%"
"TOTAL","19940","100.00%"
