"status","count","percent_of_total"
"Probation","10712","37.61%"
"Probation - Compact","1296","4.55%"
"Probation - Nonadjudicated","2889","10.14%"
"Probation - Post Release","7947","27.90%"
"PROBATION TOTAL","22844","80.20%"
"Parole","2167","7.61%"
"Parole - Compact","470","1.65%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2637","9.26%"
"Intensive Supervision Program - Court","941","3.30%"
"Intensive Supervision Program - Prison","251","0.88%"
"Earned Release Supervision","1779","6.25%"
"Medical Release","32","0.11%"
"COMMUNITY INMATE TOTAL","3003","10.54%"
"TOTAL","28484","100.00%"
