"status","count","percent_of_total"
"Probation","10022","29.81%"
"Probation - Compact","1039","3.09%"
"Probation - Nonadjudicated","3836","11.41%"
"Probation - Post Release","9650","28.70%"
"PROBATION TOTAL","24547","73.02%"
"Parole","5723","17.02%"
"Parole - Compact","358","1.06%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","6081","18.09%"
"Intensive Supervision Program - Court","1133","3.37%"
"Intensive Supervision Program - Prison","383","1.14%"
"Earned Release Supervision","1435","4.27%"
"Medical Release","40","0.12%"
"COMMUNITY INMATE TOTAL","2991","8.90%"
"TOTAL","33619","100.00%"
