"status","count","percent_of_total"
"Probation","8870","22.10%"
"Probation - Compact","1364","3.40%"
"Probation - Nonadjudicated","4156","10.36%"
"Probation - Post Release","15780","39.32%"
"PROBATION TOTAL","30170","75.18%"
"Parole","6293","15.68%"
"Parole - Compact","430","1.07%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6723","16.75%"
"Intensive Supervision Program - Court","1092","2.72%"
"Intensive Supervision Program - Prison","489","1.22%"
"Earned Release Supervision","1631","4.06%"
"Medical Release","23",".06%"
"COMMUNITY INMATE TOTAL","3235","8.06%"
"TOTAL","40128","100.00%"
