"status","count","percent_of_total"
"Probation","8887","19.92%"
"Probation - Compact","1336","3.00%"
"Probation - Nonadjudicated","4378","9.81%"
"Probation - Post Release","17760","39.81%"
"TVC Probation","103","0.23%"
"PROBATION TOTAL","32464","72.78%"
"Parole","8623","19.33%"
"Parole - Compact","533","1.19%"
"Parole - Suspension","0","0.00%"
"TVC Parole","175","0.39%"
"PAROLE TOTAL","9331","20.92%"
"Intensive Supervision Program - Court","1070","2.40%"
"Intensive Supervision Program - Prison","428","0.96%"
"Earned Release Supervision","1286","2.88%"
"Medical Release","20","0.04%"
"TVC","8","0.02%"
"COMMUNITY INMATE TOTAL","2812","6.69%"
"TOTAL","44607","100.00%"
