"status","count","percent_of_total"
"Probation","15398","50.72%"
"Probation - Compact","1053","3.47%"
"Probation - Nonadjudicated","2217","7.30%"
"Probation - Post Release","5971","19.67%"
"PROBATION TOTAL","24639","81.17%"
"Parole","1989","6.55%"
"Parole - Compact","463","1.53%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2452","8.08%"
"Intensive Supervision Program - Court","1298","4.28%"
"Intensive Supervision Program - Prison","267","0.88%"
"Earned Release Supervision","1691","5.57%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3265","10.76%"
"TOTAL","30356","100.00%"
