"status","count","percent_of_total"
"Probation","14,798","48.25%"
"Probation - Compact","1,091","3.56%"
"Probation - Nonadjudicated","2,439","7.95%"
"Probation - Post Release","6,763","22.05%"
"PROBATION TOTAL","25,091","81.81%"
"Parole","1,929","6.29%"
"Parole - Compact","446","1.45%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,375","7.74%"
"Intensive Supervision Program - Court","1,240","4.04%"
"Intensive Supervision Program - Prison","243","0.79%"
"Earned Release Supervision","1,711","5.58%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3,203","10.44%"
"TOTAL","30,669","100.00%"
