type,count,percent_of_total
probation,5351,15.77%
compact_probation,1351,3.98%
nonadjudicated,3317,9.77%
post_release,13265,39.09%
TVC_probation,116,0.34%
probation_total,23400,68.95%
parole,8240,24.28%
compact_parole,594,1.75%
suspension,0,0.00%
TVC_parole,328,0.97%
parole_total,9162,27.00%
ISP_court,725,2.14%
ISP_prison,46,0.14%
earned_release_supervision,580,1.71%
medical_release,16,0.05%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1376,4.05%
total,33938,100.00%
