"status","count","percent_of_total"
"Probation","15191","49.99%"
"Probation - Compact","1075","3.54%"
"Probation - Nonadjudicated","2316","7.62%"
"Probation - Post Release","6167","20.29%"
"PROBATION TOTAL","24749","81.44%"
"Parole","1944","6.40%"
"Parole - Compact","452","1.49%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2396","7.88%"
"Intensive Supervision Program - Court","1287","4.24%"
"Intensive Supervision Program - Prison","266","0.88%"
"Earned Release Supervision","1682","5.53%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3244","10.67%"
"TOTAL","30389","100.00%"
