"status","count","percent_of_total"
"Probation","10799","36.69%"
"Probation - Compact","1302","4.42%"
"Probation - Nonadjudicated","2903","9.86%"
"Probation - Post Release","8241","28.00%"
"PROBATION TOTAL","23245","78.97%"
"Parole","2597","8.82%"
"Parole - Compact","479","1.63%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","3076","10.45%"
"Intensive Supervision Program - Court","1017","3.45%"
"Intensive Supervision Program - Prison","208","0.71%"
"Earned Release Supervision","1855","6.30%"
"Medical Release","35","0.12%"
"COMMUNITY INMATE TOTAL","3115","10.58%"
"TOTAL","29436","100.00%"
