"status","count","percent_of_total"
"Probation","10692","35.53%"
"Probation - Compact","1266","4.21%"
"Probation - Nonadjudicated","3144","10.45%"
"Probation - Post Release","8476","28.17%"
"PROBATION TOTAL","23578","78.35%"
"Parole","3079","10.23%"
"Parole - Compact","465","1.55%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","3544","11.78%"
"Intensive Supervision Program - Court","985","3.27%"
"Intensive Supervision Program - Prison","160","0.53%"
"Earned Release Supervision","1788","5.94%"
"Medical Release","37","0.12%"
"COMMUNITY INMATE TOTAL","2970","9.87%"
"TOTAL","30092","100.00%"
