"status","count","percent_of_total"
"Probation","14518","47.05%"
"Probation - Compact","1118","3.62%"
"Probation - Nonadjudicated","2551","8.27%"
"Probation - Post Release","7107","23.03%"
"PROBATION TOTAL","25294","81.97%"
"Parole","1922","6.23%"
"Parole - Compact","433","1.40%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2355","7.63%"
"Intensive Supervision Program - Court","1265","4.10%"
"Intensive Supervision Program - Prison","246","0.80%"
"Earned Release Supervision","1690","5.48%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","3209","10.40%"
"TOTAL","30858","100.00%"
