"status","count","percent_of_total"
"Probation","9174","23.03%"
"Probation - Compact","1299","3.26%"
"Probation - Nonadjudicated","4206","10.56%"
"Probation - Post Release","15363","38.57%"
"PROBATION TOTAL","30042","75.42%"
"Parole","6100","15.31%"
"Parole - Compact","380","0.95%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6480","16.27%"
"Intensive Supervision Program - Court","1084","2.72%"
"Intensive Supervision Program - Prison","521","1.31%"
"Earned Release Supervision","1681","4.22%"
"Medical Release","25",".06%"
"COMMUNITY INMATE TOTAL","3311","8.31%"
"TOTAL","39833","100.00%"
