"status","count","percent_of_total"
"Probation","17712","59.03%"
"Probation - Compact","1211","4.04%"
"Probation - Nonadjudicated","1569","5.23%"
"Probation - Post Release","3488","11.63%"
"PROBATION TOTAL","23980","79.92%"
"Parole","1977","6.59%"
"Parole - Compact","502","1.67%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2479","8.26%"
"Intensive Supervision Program - Court","1282","4.27%"
"Intensive Supervision Program - Prison","379","1.26%"
"Earned Release Supervision","1877","6.26%"
"Medical Release","7","0.02%"
"COMMUNITY INMATE TOTAL","3545","11.82%"
"TOTAL","30004","100.00%"
