status,count,percent_of_total
"Probation","5,821","13.31%"
"Probation - Compact","566","1.29%"
"Probation - Nonadjudicated","3,664","8.38%"
"Probation - Post Release","14,478","33.10%"
"TVC Probation","92","0.21%"
"PROBATION TOTAL","24,621","56.30%"
"Parole","8,757","20.02%"
"Parole - Compact","8,757","20.02%"
"Parole - Suspension","0","0.00%"
"TVC Parole","111","0.25%"
"PAROLE TOTAL","17,625","40.30%"
"Intensive Supervision Program - Court","848","1.94%"
"Intensive Supervision Program - Prison","78","0.18%"
"Earned Release Supervision","537","1.23%"
"Medical Release","17","0.04%"
"FTR- Monitoring","6","0.01%"
"Conditional Release","3","0.007%"
"COMMUNITY INMATE TOTAL","1,489","3.40%"
"TOTAL","43,735","100.00%"
