"status","count","percent_of_total"
"Probation","11,779","41.47%"
"Probation - Compact","1,224","4.31%"
"Probation - Nonadjudicated","2,571","9.05%"
"Probation - Post Release","7,580","26.69%"
"PROBATION TOTAL","23,154","81.53%"
"Parole","1,958","6.89%"
"Parole - Compact","480","1.69%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,438","8.58%"
"Intensive Supervision Program - Court","914","3.22%"
"Intensive Supervision Program - Prison","231","0.81%"
"Earned Release Supervision","1,656","5.83%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","2,809","9.89%"
"TOTAL","28,401","100.00%"
