"status","count","percent_of_total"
"Probation","19005","67.94%"
"Compact Probation","1061","3.79%"
"Nonadjudicated","541","1.93%"
"Post Release","1150","4.11%"
"PROBATION TOTAL","21757","77.78%"
"Parole","1927","6.89%"
"Compact Parole","406","1.45%"
"Suspension","0","0.00%"
"COMMUNITY INMATE TOTAL","2333","8.34%"
"Intensive Supervision Program - Court","1998","7.14%"
"Intensive Supervision Program - Prison","570","2.04%"
"Earned Release Supervision","1315","4.70%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","3883","13.88%"
"TOTAL","27973","100.00%"
