"status","count","percent_of_total"
"Probation","16272","66.85%"
"Compact Probation","1018","4.18%"
"Nonadjudicated","722","2.97%"
"Post Release","1765","7.25%"
"PROBATION TOTAL","19777","81.25%"
"Parole","1601","6.58%"
"Compact Parole","390","1.60%"
"Suspension","0","0.00%"
"PAROLE TOTAL","1991","8.18%"
"Intensive Supervision Program - Court","928","3.81%"
"Intensive Supervision Program - Prison","374","1.54%"
"Earned Release Supervision","1270","5.22%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2572","10.57%"
"TOTAL","24340","100.00%"
