"status","count","percent_of_total"
"Probation","18744","68.84%"
"Compact Probation","1051","3.86%"
"Nonadjudicated","425","1.56%"
"Post Release","885","3.25%"
"PROBATION TOTAL","21105","77.51%"
"Parole","1934","7.10%"
"Compact Parole","405","1.49%"
"Suspension","0","0.00%"
"COMMUNITY INMATE TOTAL","2339","8.59%"
"Intensive Supervision Program - Court","1979","7.27%"
"Intensive Supervision Program - Prison","581","2.13%"
"Earned Release Supervision","1224","4.50%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","3784","13.90%"
"TOTAL","27228","100.00%"
