"status","count","percent_of_total"
"Probation","10987","57.28%"
"Compact Probation","1069","5.57%"
"Nonadjudicated","1872","9.76%"
"Post Release","1484","7.74%"
"PROBATION TOTAL","15412","80.35"
"Parole","1239","6.46%"
"Compact Parole","418","2.18%"
"Suspension","9","0.05%"
"PAROLE TOTAL","1666","8.69%"
"Intensive Supervision Program - Court","825","4.30%"
"Intensive Supervision Program - Prison","390","2.03%"
"Earned Release Supervision","887","4.62%"
"Medical Release","2","0.01%"
"COMMUNITY INMATE TOTAL","2104","10.97%"
"TOTAL","19182","100.00%"
