type,count,percent_of_total
probation,9754,20.98%
compact_probation,1279,2.75%
nonadjudicated,4766,10.25%
post_release,19583,42.12%
TVC_probation,145,0.31%
probation_total,35527,76.41%
parole,8333,17.92%
compact_parole,486,1.05%
suspension,0,0.00%
TVC_parole,442,0.95%
parole_total,9261,19.92%
ISP_court,756,1.63%
ISP_prison,106,0.23%
earned_release_supervision,831,1.79%
medical_release,15,0.03%
community_inmate_total,1708,6.69%
total,46496,100.00%
