"status","count","percent_of_total"
"Probation","9087","19.71%"
"Probation - Compact","1353","2.94%"
"Probation - Nonadjudicated","4484","9.73%"
"Probation - Post Release","18137","39.35%"
"TVC Probation","142","0.31%"
"PROBATION TOTAL","33203","72.03%"
"Parole","9669","20.98%"
"Parole - Compact","525","1.14%"
"Parole - Suspension","0","0.00%"
"TVC Parole","235","0.51%"
"PAROLE TOTAL","10429","22.62%"
"Intensive Supervision Program - Court","1008","2.19%"
"Intensive Supervision Program - Prison","320","0.69%"
"Earned Release Supervision","1113","2.41%"
"Medical Release","20","0.04%"
"TVC","3","0.01%"
"COMMUNITY INMATE TOTAL","2464","6.69%"
"TOTAL","46096","100.00%"
