status,count,percent_of_total
probation,5401,15.74%
compact_probation,1390,4.05%
nonadjudicated,3431,10.00%
post_release,13468,39.24%
TVC_probation,139,0.40%
probation_total,23829,69.43%
parole,8204,23.90%
compact_parole,574,1.67%
suspension,0,0.00%
TVC_parole,315,0.92%
parole_total,9093,26.49%
ISP_court,747,2.18%
ISP_prison,48,0.14%
earned_release_supervision,581,1.69%
medical_release,15,0.04%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1400,4.08%
total,34322,100.00%
