"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","16,827","61.33%"
"Compact Probation","1,075","3.92%"
"Nonadjudicated","1,158","4.22%"
"Post Release","2,851","10.39%"
"PROBATION TOTAL","21,911","79.86%"
"Parole","1,871","6.82%"
"Compact Parole","422","1.54%"
"Suspension","0","0.00%"
"PAROLE TOTAL","2,293","8.36%"
"Intensive Supervision Program - Court","1,050","3.83%"
"Intensive Supervision Program - Prison","401","1.46%"
"Earned Release Supervision","1,778","6.48%"
"Medical Release","5","0.02%"
"COMMUNITY INMATE TOTAL","3,234","11.79%"
"TOTAL","27,438","100.00%"
