"status","count","percent_of_total"
"Probation","14,902","49.21%"
"Probation - Compact","1,076","3.55%"
"Probation - Nonadjudicated","2,361","7.80%"
"Probation - Post Release","6,320","20.87%"
"PROBATION TOTAL","24,659","81.43%"
"Parole","1,949","6.44%"
"Parole - Compact","456","1.51%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,405","7.94%"
"Intensive Supervision Program - Court","1,291","4.26%"
"Intensive Supervision Program - Prison","238","0.79%"
"Earned Release Supervision","1,679","5.54%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3,217","10.62%"
"TOTAL","30,281","100.00%"
