type,count,percent_of_total
probation,5752,16.11%
compact_probation,1308,3.66%
nonadjudicated,3633,10.18%
post_release,14231,39.87%
TVC_probation,106,0.30%
probation_total,25030,70.12%
parole,8574,24.02%
compact_parole,518,1.45%
suspension,0,0.00%
TVC_parole,122,0.34%
parole_total,9214,25.81%
ISP_court,827,2.32%
ISP_prison,67,0.19%
earned_release_supervision,534,1.50%
medical_release,16,0.04%
FTR_monitoring,6,0.02%
conditional_release,3,0.008%
community_inmate_total,1453,4.07%
total,35697,100.00%
