status,count,percent_of_total
"Probation","5,764","15.65%"
"Probation - Compact","1,409","3.83%"
"Probation - Nonadjudicated","3,597","9.77%"
"Probation - Post Release","14,513","39.41%"
"TVC Probation","56","0.15%"
"PROBATION TOTAL","25,339","68.80%"
"Parole","9,445","25.64%"
"Parole - Compact","566","1.54%"
"Parole - Suspension","0","0.00%"
"TVC Parole","11","0.03%"
"PAROLE TOTAL","10,022","27.21%"
"Intensive Supervision Program - Court","831","2.26%"
"Intensive Supervision Program - Prison","75","0.20%"
"Earned Release Supervision","537","1.46%"
"Medical Release","17","0.05%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","3","0.008%"
"COMMUNITY INMATE TOTAL","1,469","3.99%"
"TOTAL","36,830","100.00%"
