"status","count","percent_of_total"
"Probation","6042","17.06%"
"Probation - Compact","1243","3.51%"
"Probation - Nonadjudicated","3610","10.19%"
"Probation - Post Release","15426","43.56%"
"TVC Probation","130","0.37%"
"PROBATION TOTAL","26451","74.69%"
"Parole","6880","19.43%"
"Parole - Compact","578","1.63%"
"Parole - Suspension","0","0.00%"
"TVC Parole","129","0.36%"
"PAROLE TOTAL","7587","21.42%"
"Intensive Supervision Program - Court","699","1.97%"
"Intensive Supervision Program - Prison","25","0.07%"
"Earned Release Supervision","637","1.80%"
"Medical Release","12","0.03%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1375","6.69%"
"TOTAL","35413","100.00%"
