type,count,percent_of_total
probation,5876,16.69%
compact_probation,1228,3.49%
nonadjudicated,3575,10.15%
post_release,15159,43.06%
TVC_probation,134,0.38%
probation_total,25972,73.77%
parole,7265,20.63%
compact_parole,564,1.60%
suspension,0,0.00%
TVC_parole,78,0.22%
parole_total,7907,22.46%
ISP_court,721,2.05%
ISP_prison,24,0.07%
earned_release_supervision,569,1.62%
medical_release,13,0.04%
conditional_release,2,0.006%
community_inmate_total,1329,6.69%
total,35208,100.00%
