type,count,percent_of_total
probation,5242,15.55%
compact_probation,1368,4.06%
nonadjudicated,3260,9.67%
post_release,13205,39.18%
TVC_probation,135,0.40%
probation_total,23210,68.87%
parole,8239,24.45%
compact_parole,596,1.77%
suspension,0,0.00%
TVC_parole,295,0.88%
parole_total,9130,27.09%
ISP_court,717,2.13%
ISP_prison,37,0.11%
earned_release_supervision,583,1.73%
medical_release,14,0.04%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1360,4.04%
total,33700,100.00%
