"status","count","percent_of_total"
"Probation","6546","17.92%"
"Probation - Compact","1276","3.49%"
"Probation - Nonadjudicated","3725","10.20%"
"Probation - Post Release","16062","43.98%"
"TVC Probation","141","0.39%"
"PROBATION TOTAL","27750","75.98%"
"Parole","6579","18.01%"
"Parole - Compact","564","1.54%"
"Parole - Suspension","0","0.00%"
"TVC Parole","169","0.46%"
"PAROLE TOTAL","7312","20.02%"
"Intensive Supervision Program - Court","665","1.82%"
"Intensive Supervision Program - Prison","59","0.16%"
"Earned Release Supervision","722","1.98%"
"Medical Release","14","0.04%"
"Conditional Release","2","0.005%"
"COMMUNITY INMATE TOTAL","1462","6.69%"
"TOTAL","36524","100.00%"
