"status","count","percent_of_total"
"Probation","10,924","50.92%"
"Compact Probation","1,073","5.00%"
"Nonadjudicated","2,314","10.79%"
"Post Release","2,819","13.14%"
"PROBATION TOTAL","17,130","79.85%"
"Parole","1,366","6.37%"
"Compact Parole","387","1.80%"
"Suspension","7","0.03%"
"PAROLE TOTAL","1,760","8.20%"
"Intensive Supervision Program - Court","1,187","5.53%"
"Intensive Supervision Program - Prison","281","1.31%"
"Earned Release Supervision","1,094","5.10%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,562","11.94%"
"TOTAL","21,452","100.00%"
