"status","count","percent_of_total"
"Probation","9958","30.17%"
"Probation - Compact","1048","3.17%"
"Probation - Nonadjudicated","3774","11.43%"
"Probation - Post Release","9639","29.20%"
"PROBATION TOTAL","24419","73.97%"
"Parole","5302","16.06%"
"Parole - Compact","361","1.09%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5663","17.15%"
"Intensive Supervision Program - Court","1071","3.24%"
"Intensive Supervision Program - Prison","435","1.32%"
"Earned Release Supervision","1386","4.20%"
"Medical Release","37","0.11%"
"COMMUNITY INMATE TOTAL","2929","8.87%"
"TOTAL","33011","100.00%"
