"status","count","percent_of_total"
"Probation","10703","29.13%"
"Probation - Compact","1027","2.80%"
"Probation - Nonadjudicated","4376","11.91%"
"Probation - Post Release","10907","29.69%"
"PROBATION TOTAL","27013","73.53%"
"Parole","6256","17.03%"
"Parole - Compact","326","0.89%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6582","17.92%"
"Intensive Supervision Program - Court","1194","3.25%"
"Intensive Supervision Program - Prison","458","1.25%"
"Earned Release Supervision","1447","3.94%"
"Medical Release","43",".12%"
"COMMUNITY INMATE TOTAL","3142","8.55%"
"TOTAL","36737","100.00%"
