"status","count","percent_of_total"
"Probation","17615","56.79%"
"Probation - Compact","1239","3.99%"
"Probation - Nonadjudicated","1816","5.85%"
"Probation - Post Release","4433","14.29%"
"PROBATION TOTAL","25103","80.93%"
"Parole","1970","6.35%"
"Parole - Compact","511","1.65%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2481","8.00%"
"Intensive Supervision Program - Court","1272","4.10%"
"Intensive Supervision Program - Prison","311","1.00%"
"Earned Release Supervision","1839","5.93%"
"Medical Release","11","0.04%"
"COMMUNITY INMATE TOTAL","3433","11.07%"
"TOTAL","31017","100.00%"
