"status","count","percent_of_total"
"Probation","10785","51.51%"
"Compact Probation","1043","4.98%"
"Nonadjudicated","2201","10.51%"
"Post Release","2604","12.44%"
"PROBATION TOTAL","16633","79.44%"
"Parole","1411","6.74%"
"Compact Parole","398","1.90%"
"Suspension","7","0.03%"
"PAROLE TOTAL","1816","8.67%"
"Intensive Supervision Program - Court","1170","5.59%"
"Intensive Supervision Program - Prison","272","1.30%"
"Earned Release Supervision","1047","5.00%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2489","11.89%"
"TOTAL","20938","100.00%"
