"status","count","percent_of_total"
"Probation","11,472","48.76%"
"Compact Probation","1,064","4.52%"
"Nonadjudicated","2,327","9.89%"
"Post Release","4,253","18.08%"
"PROBATION TOTAL","19,116","81.25%"
"Parole","1,391","5.91%"
"Compact Parole","419","1.78%"
"Suspension","6","0.03%"
"PAROLE TOTAL","1,816","7.72%"
"Intensive Supervision Program - Court","1,010","4.29%"
"Intensive Supervision Program - Prison","301","1.28%"
"Earned Release Supervision","1,285","5.46%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,596","11.03%"
"TOTAL","23,528","100.00%"
